reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c0c21e80-a6d8-41ab-b279-01ada566e698,Reza Putra,https://play-lh.googleusercontent.com/a-/ALV-UjW32zjDrwcFnEJT6OjOZlbMgLGYrtxGIPsI_0lw32GsQCY4SSeZ,"Ada masalah apa dengan jaringan di aplikasi anda? Sudah 3 hari saya tidak bisa login dengan keterangan "" Segera periksa jaringan anda, koneksi terputus "" Padahal mah jaringan sudah 5G, masalahnya ada dimna ini? Sudah instal trus uninstall berkali kali hasilnya nihil, Aplikasi ini butuh pengembangan atau dimusnahkan saja.",2,26,4.11.7,2024-05-11 00:34:47,"Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Jika membutuhkan informasi lebih lanjut silakan hubungi BPJAMSOSTEK melalui layanan 175, Email, Whatsapp atau Sosial media resmi -Andro",2024-05-16 08:46:44,4.11.7
1d75931a-15f3-4ef1-8594-b2f4e9963206,Ketut Yoga,https://play-lh.googleusercontent.com/a-/ALV-UjXi6dja57QAMCNThCbfdkna-xZgxOcAWLAoR3ewol7bFQX-Q62E,"Aplikasi yang kurang sempurna, karna apa kurang sempurna? Kita login di butuhkan kode otp yang melalui pesan wahtsap,dan kode itu belum kunjung masuk setelah berepa saat saya mengulang trus mencoba ulang untuk mengirim kembali kode otp yang melalui whatsap,hingga saat ini belum kunjung masuk,,, apakah cocok aplikasi ini di beri reting????",1,4,4.11.7,2024-05-17 15:29:21,"Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk pengaduan kendala dan informasi lebih lanjut dapat menghubungi Care 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -JR",2024-05-21 09:27:32,4.11.7
889caae9-013f-4a63-bcce-645200b4aa79,Mariza Motovlog,https://play-lh.googleusercontent.com/a-/ALV-UjXSMF3kZdRZsluo4FOQHy1ojWeX8aJw7cjJ8EOyXDgrn5p6jiY,"Aplikasi bukannya mempermudah malah mempersulit, setelah d update malah jadi tidak terdaftar, saldonya hilang, gak bisa d klaim, katanya suruh cek berkala, semakin d cek dan di update semakin gak karuan aplikasinya, jawabannya masih perbaikan terus, perbaikan gak selesai selesai bukannya jadi baik malah jadi bikin jengkel, tolong ini aplikasi skala nasional dipakai banyak orang masa ngebug terus gini",1,779,4.11.7,2024-03-31 23:32:19,,,4.11.7
f63fe5ae-4380-4580-bef1-7a23e33c1395,Erna Wati,https://play-lh.googleusercontent.com/a-/ALV-UjXfAAllyF7SuDChWB4kzWSAxuWI6bbaITYzYO6vcXTCWJxZ59UZhg,"Mengapa setelah pengkinian data malah tidak bisa dibuka sama sekali dengan alasan internet error', padahal sudah mencoba memakai WiFi dan data tapi tetap saja tidak bisa terhubung, jadinya tidak bisa melihat data kita sama sekali dan bagaimana mau nge klaim kalau kita kita ada posisi sudah tidak bekerja lagi dan ada di luar dari kota asal . Mohon di permudah dan aplikasi ini bisa lancar seperti awal dulu",2,47,4.11.7,2024-05-07 11:07:07,,,4.11.7
870e1d19-45b4-4991-a6a9-6e694bd9d198,Taufik B. A,https://play-lh.googleusercontent.com/a-/ALV-UjVob36h-usVWWwQXCy_JxZfGo7AmFEOkLyIbQOybpqwHLHReML0,Tiap hari minta update aplikasi. Dulu untuk mengklaim jauh lebih mudah melalui aplikasi ini. Tapi sekarang jauh lebih sangat menyusahkan untuk pengguna yang ingin mengklaim. Setelah nonaktif masih menunggu 1 bulan untuk segala macamnya. Bukan mempermudah. Tapi malah mempersulit pengguna yang sudah tidak ada pemasukan,2,647,4.11.7,2024-03-28 05:58:48,"Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Jika membutuhkan informasi lebih lanjut silakan hubungi BPJAMSOSTEK melalui layanan 175, Email, Whatsapp atau Sosial media resmi -Ryu",2024-03-28 06:35:58,4.11.7
cdb57c51-bdaa-4391-8ec3-a0702419ff26,Alpiyan hartanto,https://play-lh.googleusercontent.com/a/ACg8ocJAJ4VgwW2Jl8rWkNZcB5buKSVPBcwcjEFA2wbylsdVzq_ikg=mo,"pas mau melakukan pengkinian data vertifikasi wajah pertama kali langsung berhasil, setelah berhasil lanjut ke menu selanjutnya baru di isi sebagian tiba"" kembali ke halaman utama. percobaan kedua klik pengkinian data lagi sudah spai proses vertifikasi wajah tidak bisa katanya sudah gagal 3x padahal saya baru 1x, lalu disarankan untuk ke web lapak asik atau kantor jmo. tolong langsung segera diperbaiki aplikasinya, bantu dan permudah kami jangan dipersulit.",1,62,4.11.7,2024-04-22 05:03:44,"Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. kami terus melakukan peningkatan kualitas aplikasi, terkait kendala pengkinian data agar bisa kami bantu tindak lanjuti, mohon bisa menghubungi kami melalui care@bpjsketenagakerjaan.go.id atau bisa melalui DM di seluruh akun media sosial resmi kami. -DD
",2024-04-23 10:23:59,4.11.7
89d21ac9-7f93-4953-9681-0b19cc5c2eb3,Chandra Diponegoro,https://play-lh.googleusercontent.com/a-/ALV-UjW0nmZBCvnMCe84XC9KMFoi8nNNlYe50P4XdEsNdtuH7y3QtUYC,"Ini kenapa aplikasi setelah uodate data jadi hilang semua.. Cek saldo data kosong, cek kartu digital juga data kosong, rsjht kosong juga.. Untuk dev. Mohon segera di perbaiki. Ini sangat mengganggu sekali..",3,264,4.11.7,2024-04-01 02:28:11,,,4.11.7
2a2e7d10-8316-4ebb-bb45-222a72f74cac,Maqsum L,https://play-lh.googleusercontent.com/a/ACg8ocJVJDs1TcyLTpEAWeHQHuh47x4OhKIqD_e-_pKLZHsKtxKEEg=mo,"Masukan aja dari saya 1 utk Dev. Perumahan Pekerja baiknya ada filter lokasi. Sangat sulit mencari perumahan di lokasi saya. Misalnya saya di daerah Surabaya, tapi karena tidak ada filter lokasi, jadi semua random dan kita harus cek di Google utk lokasi perumahan satu per satu. Apa fungsinya pengaktifan GPS kalau tdk bisa otomatis mendapat titik radius. Mohon dibantu. Terima kasih.",4,260,4.11.7,2024-04-17 02:10:28,"Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan. Terimakasih telah menggunakan aplikasi JMO (Jamsostek Mobile), penilaian Sahabat sangat penting untuk peningkatan layanan kami. Apabila membutuhkan informasi, permintaan atau keluhan dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -BS",2024-04-24 10:17:44,4.11.7
5ff153c9-2ee2-4a50-b289-c71854606c27,Annisa SN,https://play-lh.googleusercontent.com/a-/ALV-UjU30uHtTJBBoZsqIlI3FrbeRVeNkcMekGVOdibMQAtoz6CqXpL7Gg,diminta Update malah gak bisa pengkinian data lg isi malah ngeBug cek Saldo JHT keterangan tidak tersedia aplikasi itu harusnya mempermudah bukan mempersulit Apalagi di Era Digital saat ini tapi Aplikasi Digitalnya seperti ini keterangan Masih penyempurnaan sistem sempurnanya nunggu berapa Tahun Lagi???,2,273,4.11.6,2024-03-27 05:21:39,"Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. kami terus melakukan peningkatan kualitas aplikasi, terkait kendala pengkinian data agar bisa kami bantu tindak lanjuti, mohon bisa menghubungi kami melalui care@bpjsketenagakerjaan.go.id atau bisa melalui DM di seluruh akun media sosial resmi kami. Tks -Aoi",2024-03-27 06:54:25,4.11.6
c5144fb9-0014-4cb3-9fd5-4cfb7fc1a624,Haidar Ali,https://play-lh.googleusercontent.com/a-/ALV-UjXpXaBMt9kSeJ_FtwgZgKLPOq_Pyd_qKmgLL5T3fFg5xz-6aZ5xKA,Fitur pengkinian data sedang dalam penyempurnaan. Tapi dah sebulan lebih ngga selese². Kalo ngga bisa mending fiturnya ngga usah di launching dulu. Developers systemnya siapa sih? Satu kata *NOT PROFESSIONAL* AMATIR,1,114,4.11.7,2024-04-02 07:00:31,,,4.11.7
fab48aa0-c3b6-43e9-ad99-9bd25c88a8aa,Pipihroyani,https://play-lh.googleusercontent.com/a/ACg8ocKe5B6ERt1-o1cPGVohi_nnOkAQjsphVGN0RAhTPo_D4hdZ5g=mo,jelek dan ribet.. sudah komplen langsung ke kantor cabang.. tapi masalah nya masih tetap kayak gitu.. merubah nik karna salah.. di cek akun nya masih gitu aja tidak ada perubahan.. cek saldo.. cek kartu di gital.. tetap aja gitu.. tetap we gak bisa.. super ribet dah... padehal ngerubah data sama komplen langsung datang ke kantor... tapi belum juga di perbaiki...,1,32,4.11.7,2024-04-19 10:29:20,"Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -DD
",2024-04-23 12:06:59,4.11.7
